identifier,uploadLimit,authorizedFormOfName,contactPerson,streetAddress,telephone,email,fax,website,geoculturalContext,internalStructures,collectingPolicies,holdings,findingAids,openingTimes,accessConditions,disabledAccess,researchServices,reproductionServices,publicFacilities,maintenanceNote,descInstitutionIdentifier,descRevisionHistory,descSources,culture
daa/401,0,All Saints' College,Archivist,"Ewing Avenue, Bull Creek 6149

Postal address:
PO Box 165, Willetton 6955",(08) 9332-5344,,(08) 9310-4726,,,Officer in charge: Archivist,Records of the college and associated bodies.,Quantity: 30m (95% in-house).,,Open by appointment. Photocopying facilities available.,Advance notice of subject and purpose of research is required as well as proof of identity.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/477,0,Allport Library and Museum of Fine Arts,Senior Librarian (Allport),"91 Murray Street, Hobart TAS

Postal address:
As above",(03) 6233-7484,Heritage.Collections@central.tased.edu.au,(03) 6231-0927,http://www.tased.edu.au/library/allport/allport.htm,,"Officer in charge: Senior Librarian (Heritage Collections)

See also: State Library of Tasmania - W L Crowther Library","The content of the manuscripts collection is generally nineteenth-century Tasmanian, with an emphasis on the Allport family. The collection is largely as it was bequeathed to the people of Tasmania by Henry Allport in 1966. Manuscripts are infrequently added to the collection, but rare and significant items may be acquired if they meet the Library's Collection Development Policy.","Allport family: personal papers (5m). Dobson, John: professional (legal) papers c.1834-1860 (3m).

Quantity: 20m (100% collecting).

References: The Allport Library and Museum of Fine Arts. Hobart: State Library of Tasmania 1993. Winter, G (ed) Tasmanian insights: essays in honour of Geoffrey Thomas Stilwell. Hobart: State Library of Tasmania 1992.","Card indexes to the collection as a whole, and to the Dobson papers, are available for use in the Library.","Open Mon-Wed & Fri 9:30am-5:00pm, Thurs 1-9pm. General reference assistance available. Copying services include photocopying, photography, microfilming and scanning.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/524,0,Ambleside Park Homestead Museum and Resource Centre,Management committee of the Knox Historical Society Inc.,"1-3 Olivebank Road, Ferntree Gully

Postal address:
PO Box 320, Ferntree Gully 3156",(03) 9758 6722,,,http://home.vicnet.net.au/~khsinc/,,Officer in charge: Management committee of the Knox Historical Society Inc.,"The history of the district, which includes the suburbs of Bayswater, Boronia, Ferntree Gully, Lysterfield, Rowville, Scoresby, The Basin, Wantirna, Wantirna South and Upper Ferntree Gully. This includes the Knox municipality (since 1963), the former Shire of Ferntree Gully (1889-1963), the former Scoresby Riding of the Berwick Shire (1863-1889) and pre local government times in the above areas.","Rate records for Scoresby Riding, Berwick Shire (1875-1888) Rate records for Ferntree Gully Shire (1892-1926) Ferntree Gully Shire Council Minutes (1929-1959) 6,000+ local photographs 20,000 local school photographs Land records (1860s-1960s for most properties in Knox) St Bartholomews' Church of England Reguisters (1878-1920) Genealogy records and family treees for significant pioneers Local newspapers (various periods - hard copy and on film/fiche), including: Oakleigh and Ferntree Gully Times, South Bourke and Mornington Journal, Ferntree Gully Times, Free Press, Knox News, Knox and Sherbrooke Post, Knox Leader, and Knox Journal",,Museum and resource centre open Sundays 1pm-4pm. All other times by appointment to the President (0409 287 359). General reference assistance and copying services available.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/511,0,Anglican Church Diocese of Grafton,"Reverend Geoffrey Foley, Diocesan Archivist","55 Victoria Street, Grafton NSW 2460

Postal address:
The Diocesan Archivist, 198 Dawson Street, Lismore NSW 2480",(02) 6621-4684,gefoley@nor.com.au,(02) 6621-4684,http://www.grafton.anglican.org,,"Officer in charge: Reverend Geoffrey Foley, Diocesan Archivist",The Anglican Diocese of Grafton Records Centre holds records of the Diocese of Grafton and Anglican parishes on the north coast between Port Macquarie and Tweed Heads.,"Quantity: 100 m + 60 reels of microfilm, audio-cassettes, video-cassettes",,Access by appointment only. Contact the Diocesan Archivist directly.,"Records Centre is on ground floor accessible to wheelchairs.
Requests for certified details of baptisms, confirmations, marriages and burials should be mailed to Archivist.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/23,0,Anglican Church Diocese of Sydney,"Dr Louise Trott, Diocesan Archivist","St James' Hall, 169 Philip Street, St James, Sydney NSW 2000

Postal address:
PO Box Q190, Queen Victoria Building Post Office, Sydney NSW 1230",(02) 9265-1620,archives@sydney.anglican.asn.au,(02) 9232-7841,http://www.sydneyanglicanarchives.com.au,,"Officer in charge: Dr Louise Trott, Diocesan Archivist",The Diocesan Archives collects parish records created by churches within the Diocese of Sydney; administrative and financial records created by Diocesan administrative units; relevant personal papers.,Quantity: (100% in-house).,,Access by appointment only. Contact the Diocesan Archivist directly.,Access can be arranged via written application for academic or literary researchers. Written recommendation may be required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/499,0,"Anglican Diocese of Adelaide, Archives & Records Centre",In writing to Diocesan Archivist.,"18 King William Road, North Adelaide, SA 5006

Postal address:
As above",(08) 8239 1249,archives@anglicare-sa.org.au.,,,,,General diocesan administration. See also Anglicare SA.,,,,"Research requests in writing. Access by arrangement, personal identification may be required. Research fees apply.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/325,0,Anglican Diocese of Melbourne,Registrar,"203 Flinders Lane, Melbourne 3000

Postal address:
As above",(03) 9653-4220,,(03) 9650-5237,http://www.melb-anglican.com.au/,,Officer in charge: Registrar,,"Diocesan Synod, Archbishop in Council, Archbishops, Registrars: Letter books, minutes, correspondence, articles, Synod legislation, Diocesan newspapers 1847-1991.",,"Open by appointment only. Reference assistance available in person and by mail. Copying for books/journals, photographs and newspapers available. Referral to paid researchers is available.",Minimum age 18 years. Write for appointment allowing 14 days for approval by Dean. Closed period of 30 years applies to most records.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/545,0,"Anglican Diocese of Perth, Archives",The Archivist,"Level 10 Law Chambers. 573 Hay Street, Perth, 6000

Postal address:
GPO Box W2067, Perth WA, 6846",(08) 9425 7243,archives@perth.anglican.org,(08) 9221 4118,www.perth.anglican.org,,Officer in charge: The Archivist,The Diocesan Archives collects administrative and financial records of the Diocesan administrative units and parishes and relevant papers of Archbishops and clergy.,,,By appointment only from Wed –Fri 1pm-4pm. Contact the Diocesan Archivist directly.,Advance notice is required by phone or email. Access can be arranged via written application for academic or literary research.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/500,0,Anglicare SA,In writing to Archivist.,"18 King William Road, North Adelaide, SA 5006

Postal address:
As above",(08) 8239-1249,,,,,,Records of Anglican social welfare institutions and agencies since 1860.,,,,Restrictions apply. Personal identification required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/258,0,Annesley College,Archivist,"89 Greenhill Road, Wayville 5034

Postal address:
As above",(08) 8422-2288,,(08) 8272-0142,http://www.annesley.on.net,,Officer in charge: Archivist,The Archives collects official school records and papers of people and organisations closely associated with the school.,Quantity: 50m (90% in-house).,,"Open by appointment; closed on weekends, public holidays, school holidays. Reference assistance available in person and by mail.",Application indicating subject of research required two weeks in advance. Closed period of 30 years applies to most records. Access to records not normally available for research can be gained with the authority of the Principal.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/189,0,Archive of Australian Judaica,Archivist,"Fisher Library F03, University of Sydney 2006

Postal address:
c/- Rare Books and Special Collections, Fisher Library F03, University of Sydney 2006",(02) 9351-4162,mdacy@library.usyd.edu.au,(02) 9351-7765,http://judaica.library.usyd.edu.au,,Officer in charge: Archivist,The preservation of records of Australian Jewish Organisations and the papers of individuals involved in the Australian Jewish Community.,"New South Wales Jewish Board of Deputies: Organisational minutes and reports/correspondence 1938-1974 (35m). Zionist Federation of Australia and New Zealand: Organisational minutes and reports/ correspondence 1945-1992 (14m). Max Joseph Collection: Individual collection - letters, photos, articles 1921-1971 (7m). Cyril Pearl Collection: Individual collection - letters, photos, articles 1941-1983 (0.5m). Ruby Rich - Schalit Collection: Individual collection - letters, photos, articles 1979-1986 (2m). Executive Council of Australian Jewry: Organisational minutes and correspondence 1945-1980 (25m). Australasian Union of Jewish Students: Organisational minutes and correspondence 1971-1988 (25m). Jewish Council to Combat Fascism and Anti-Semitism: Organisational minutes and correspondence 1940-1969 (3m).

Quantity: 254m (95% in-house).

References: Archives of Australian Judaica. Casual Bulletin (1983-April 1998). Dacy, Marianne, 'Archive of Australian Judaica' Archives and Manuscripts 12/2 (Nov 1984). Dacy, Marianne, 'Archive of Australian Judaica' Australia/Israel Review 9/14 (Aug, 1984). Dacy, Marianne, 'Archive of Australian Judaica' Australian Historical Biography 11 (July 1986). Dacy, Marianne, 'The Archive of Australian Judaica at the University of Sydney' Proceedings of the Eleventh World Congress of Jewish Studies Division B. History of the Jewish People. Volume IV. Modern Times, 413-20, Jerusalem 1994. Dacy, Marianne ,'The Archive of Australian Judaica - after ten years' Journal of the Australian Jewish Historical Society 12/3 (November 1994).","Dacy, M (compiler) Archive of Australian Judaica Holdings, 1985-87. Monographs 1, 3-8, 10, 11, University of Sydney.","Open Mon-Wed 9am-5pm, contact Rare Book Staff Thurs-Fri; closed public holidays. General reference assistance available. General copying services available. Periodical republication of catalogue, and bibliography information supplied on request. Rreferral to paid researchers is available.",Access to records not normally available for research can be gained by permission of creating body eg New South Wales Jewish Board of Deputies Archives.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/320,0,Archives Office of Tasmania,State Archivist,"91 Murray Street, Hobart 7000

Postal address:
As above",(03) 6233-7488,taho@education.tas.gov.au,(03) 6233-7471,http://www.archives.tas.gov.au,,Officer in charge: State Archivist,"Tasmanian State, Local Government and Statutory Authorities' records covered by legislative prescription.","The records date mainly from the 1820s to the present. Of particular significance among 19th Century records are those of the Colonial Secretary's Office and the Convict Department. Records are also held from a variety of Tasmanian non-government organisations, individuals, companies, associations and societies.

Quantity: 17,701 m (2008-09 annual report)","Guide to the Public Records of Tasmania -Colonial Secretary's Office; Governor's Office; Convict Department; Free Immigration.
	Entries in National Library of Australia Guide to Collections of Manuscripts Relating to Australia.
	Online databases of holdings, information and listings and specific indexes, are available on the AOT website.","Open Monday to Thursday 9:30am-6pm, Friday 9.30am - 8.00pm (microfilmed items only from 6.00pm) and Saturday 9.30am - 2.30pm. Reference assistance available in person, by phone and mail (electronic and hardcopy). General copying services and referral to paid researchers available.",Closed period of 25 years applies to most records but may vary. Access to records not normally available for research can be gained by application to the creating agency or State Archivist.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/40,0,ARHS Railway Resource Centre,Research Officer,"67 Renwick Street, Redfern 2016

Postal address:
As above",(02) 9699-2736 (Resource centre); (02) 9699 4595 (Sales),resources@arhsnsw.com.au,(02) 9699-1714,http://www.arhsnsw.com.au,,"Officer in charge: Ken Williams, Manager Archives","The Archives has collections of photos, diagrams, drawings, technical magazines, machinery instruction books, all from State Railway; and numerous private collections, accident reports and departmental memos on events, books and magazines on all aspects of railways. All material relates to railways (1800 to present). (50% in-house).","New South Wales Railway Authorities: Various record series, printed and manuscript including working plans, rolling stock plans, station plans 1890- (500m).",,Open first three Saturdays of the month 10am-3:30pm; first four Tuesdays of the month 12 noon-4pm. Country and overseas visitors can apply in writing to gain access out of time. Reference assistance available in person and by mail. General copying services available. Referral to paid researchers is available. A sales centre for overseas & Australian railways has been established on site.,Country and overseas visitors can gain access out of time by writing to postal address.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/402,0,Army Museum of Western Australia Foundation,Administrator,"Artillery Barracks, Burt Street, Fremantle, WA 6160

Postal address:
As above",(08) 9335-2077; Bookings (08) 9430-2536,,(08) 9430-2519,,,Officer in charge: Curator,The museum is the largest military museum in the country outside of the Australian War Memorial. Exhibits range from pre-federation to Somalia. The museum is housed in the historic Fremantle Artillery Barracks built in 1902.,"Site is within a heritage precinct in the port city of Fremantle, buildings opened in 1911 and 1913. Presently housing the Western Australian University Regiment, the barracks has been an ongoing defence establishement since opening. Collection includes a large vehicle section and a range of galleries pertaining to Western Australia's military and domestic involvement since the colonial, pre 1900 period. Includes the Great War, WW2, Korean conflict, and up to Vietnam War and peace-keeping forces since.",,"Open Sat & Sun 12:30-4:30pm, Wed 11am-3pm. Medal mounting; individual records research, especially World War I and World War II; bookshop and refreshments.","Wheelchair access throughout Museum. Access to records/archives available during open hours, prior notice appreciated for extensive searches.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/403,0,Art Gallery of Western Australia,Manager Information Services,"Perth Cultural Centre, 47 James Street, Perth 6000

Postal address:
PO Box 8363, Stirling Street, Perth 6000",(08) 9328-7233,,(08) 9328-6353,,,Officer in charge: Manager Information Services,"The Art Gallery of Western Australia Library focuses on the selection of materials relevant to the history of art and artists in Western Australia for research, historical purposes. The collection includes information about other Australian and international artists with paraticular reference to the artists in ghe Gallery's collection. Also collected is information on art institutions.","Various eg newspaper clippings, journal articles, invitations to exhibitions and catalogues; Artists' files 1950- (65m).",,"Open Mon-Fri 9am-1pm and 2-5pm. General reference assistance available. Copying services available for books, journals, newspaper clippings and original records to A3.",1-2 days' advance notice of visit required. Details regarding purpose of study and subject to be researched are required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/25,0,Ashfield Municipal Council,Archivist,"Civic Centre, 260 Liverpool Road, Ashfield 2131

Postal address:
As above",(02) 9716-1272,ASH@peg.pegusus.oz.au,(02) 9797-9980,,,Officer in charge: Archivist,"This archives functions essentially as an in-house service to Ashfield Council. The archives does not actively collect material from other sources, although some such records have been deposited in the archives in the past.","Rate books 1872-

Quantity: 342 m (ACA Australian Archival Statistics, 1998)",,"Open Wed-Fri 10am-4pm; closed Mon, Tues and public holidays. General reference assistance available. Copying services and introductory brochure available.","Minimum one week needed for approval of application by General Manager, if required.
1 day's advance notice of visit required detailing subject of research.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/26,0,Auburn District Historical Society,Archives Officer,"Social Centre, Queen Street, Auburn 2144

Postal address:
PO Box 281, Auburn 2144",(02) 9643-2972,,,,,Officer in charge: Archives Officer,"All material relating to the Auburn Municipality (Auburn, Lidcombe, Berala, Regents Park, Silverwater).",,,Open by appointment. Reference assistance available by mail. No copying services available.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/27,0,Australasian Society for Ultrasound in Medicine,Dr William Garrett,"2/181 High Street, Willoughby 2068

Postal address:
As above",(02) 9958-7655,,(02) 9958-8002,http://www.medeserv.com.au/asum/open/home.htm,,Officer in charge: Dr William Garrett,The Society was founded in 1970 and appropriate records and other archival material is kept. (95% in-house).,Australasian Society for Ultrasound in Medicine Minutes 1970-,,Open by appointment. Reference assistance available in person and by telephone. No copying services available.,Minimum age 18 years. Letter of request to visit and proof of identity required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/327,0,Australia and New Zealand Banking Group Limited,"Manager, ANZ Group Archive","297 Ferntree Gully Rd, Mt Waverley 3149, Australia

Postal address:
As above",(03) 9541 8056,,(03) 9541 8061,http://www.anz.com/australia/aboutanz/anzinthecommunity/Archives/default.asp,,"Officer in charge: Manager, ANZ Group Archive",Records of ANZ Group and its predecessors but excluding records of customers' accounts.,"Australia and New Zealand Banking Group Limited, subsidiaries and predecessors, including: Bank of Australasia (1833-1951); Union Bank of Australia (1837-1951); Bank of South Australia (1836-1892); English, Scottish & Australian Bank (1852-1970); Commercial Bank of Tasmania (1829-1921); Bank of Adelaide (1865-1979); National Mutual Royal Bank (1985-1990); Royal Bank of Australasia and South Africa/Bank of South Africa (1833-1837).
	Dalgety Finance Limited (1962-1993); London Bank of Australia (1852-1921); Royal Bank of Australia (1888-1927).

Quantity: 1,800m (100% in-house)

References: Chataway, J.G. Banking & Economic Development: The Role of the Bank of Adelaide in South Australia, 1865-1915 (unpublished thesis), 1975.
	Butlin, S.J., Australia and New Zealand Bank Limited. Longmans, 1961
	Merrett, D.T., ANZ Bank: A History of the Australia and New Zealand Banking Group Limited and its Constituents. Allen & Unwin, 1985.",,Open by appointment Mon-Fri 9am-5pm; closed Bank Holidays. General reference service and limited copying service available. Introductory brochure available.,Advance notice of visit required; post-graduate research only. Proof of identity required. Closed period of 30 years applies. Mail enquiries dealt with on a limited research basis.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
